location,count,link
"versailles, versailles, france",25,"https://mountvernoncdh.github.io/browse.html#versailles,%20versailles,%20france"
"newport, rhode island, usa",10,"https://mountvernoncdh.github.io/browse.html#newport,%20rhode%20island,%20usa"
"annapolis, maryland, usa",9,"https://mountvernoncdh.github.io/browse.html#annapolis,%20maryland,%20usa"
"philadelphia, pennsylvania, usa",8,"https://mountvernoncdh.github.io/browse.html#philadelphia,%20pennsylvania,%20usa"
"yorktown, virginia, usa",5,"https://mountvernoncdh.github.io/browse.html#yorktown,%20virginia,%20usa"
"aboard the vessel "triomphant"",4,"https://mountvernoncdh.github.io/browse.html#aboard%20the%20vessel%20%22triomphant%22"
"cap françois, saint domingue (today cap-haitien, haiti)",3,"https://mountvernoncdh.github.io/browse.html#cap%20fran%C3%A7ois,%20saint%20domingue%20(today%20cap-haitien,%20haiti)"
"boston, massachussets, usa",3,"https://mountvernoncdh.github.io/browse.html#boston,%20massachussets,%20usa"
"philipsburg encampment, new york, usa",3,"https://mountvernoncdh.github.io/browse.html#philipsburg%20encampment,%20new%20york,%20usa"
"paris, ile de france, france",3,"https://mountvernoncdh.github.io/browse.html#paris,%20ile%20de%20france,%20france"
"frescati, lazia, italy",2,"https://mountvernoncdh.github.io/browse.html#frescati,%20lazia,%20italy"
"williamsburg, virginia, usa",2,"https://mountvernoncdh.github.io/browse.html#williamsburg,%20virginia,%20usa"
"caracas, venezuela",1,"https://mountvernoncdh.github.io/browse.html#caracas,%20venezuela"
"warwick, delaware, usa",1,"https://mountvernoncdh.github.io/browse.html#warwick,%20delaware,%20usa"
"delaware (?)",1,"https://mountvernoncdh.github.io/browse.html#delaware%20(?)"
"martinique",1,"https://mountvernoncdh.github.io/browse.html#martinique"
"king's ferry, new york, usa",1,"https://mountvernoncdh.github.io/browse.html#king's%20ferry,%20new%20york,%20usa"
"williamsburg, virgnia, usa",1,"https://mountvernoncdh.github.io/browse.html#williamsburg,%20virgnia,%20usa"
"rose's tavern",1,"https://mountvernoncdh.github.io/browse.html#rose's%20tavern"
"mount vernon, virgnia, usa",1,"https://mountvernoncdh.github.io/browse.html#mount%20vernon,%20virgnia,%20usa"
"wethersfield, connecticut, usa",1,"https://mountvernoncdh.github.io/browse.html#wethersfield,%20connecticut,%20usa"
"bergen county and freehold",1,"https://mountvernoncdh.github.io/browse.html#bergen%20county%20and%20freehold"
"more house tavern",1,"https://mountvernoncdh.github.io/browse.html#more%20house%20tavern"
"porto cabello, carabobo, venezuela",1,"https://mountvernoncdh.github.io/browse.html#porto%20cabello,%20carabobo,%20venezuela"
"head of elk, maryland, usa",1,"https://mountvernoncdh.github.io/browse.html#head%20of%20elk,%20maryland,%20usa"
