title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,object_thumb,object_location,reference_url
"Invitation messe St Louis 25 août 1780 à Versailles ","Secretaire général de l&#39;Ordre de Saint Louis","1780-08-20","","Versailles, France; Highlight","Versailles, Versailles, France","48.80759347","2.100656424","","1","","","French","","","https://fromthepage.com/image-service/32520095/full/pct:10/0/default.jpg","https://fromthepage.com/iiif/32029150/manifest",/items/32029150.html
"Lettre La Villebrune + liste bateaux (Annapolis) ","La Villebrune","1781-09-16","","Praintanau;Jacques-Aimé Le Saige de La Villèsbrunne;Ann-César de la Luzerne; 1741-1791; Highlight","Annapolis, Maryland, USA","38.97787859","-76.48992152","","100","","","French","","","https://fromthepage.com/image-service/32541574/full/pct:10/0/default.jpg","https://fromthepage.com/iiif/32029426/manifest",/items/32029426.html
"Benoît-Joseph de Tarlé to Antoine-Charles du Houx, baron de Vioménil, 20 Sep 1781","Benoît-Joseph de Tarlé","1781-09-20","","Jean-Baptiste Donatien de Vimeur de Rochambeau; 1725-1807; Williamsburg, Virginia;Philadelphia, Pennsylvania;Alexandria, Virginia; Williamsburg, Virginia;Jacques-Aimé Le Saige de La Villèsbrunne;Jeremiah Wadsworth; 1743-1804;John Barker Church aka John Carter; 1748-1818;Ann-César de la Luzerne; 1741-1791;Jeremiah Wadsworth; 1743-1804;John Barker Church aka John Carter; 1748-1818;Benoît-Joseph de Tarlé; 1735-1797; Highlight","Annapolis, Maryland, USA","38.97787859","-76.48992152","","101","","","French","","","https://fromthepage.com/image-service/32541578/full/pct:10/0/default.jpg","https://fromthepage.com/iiif/32029427/manifest",/items/32029427.html
"Dans l&#39;ordre... Brouillon B de V - Rassemblement des voitures ","Charles-Antoine Du Houx, Baron de Vioménil ","1781-09-10","","Jacques-Pierre Orillard de Villemanzy; 1751-1830; Highlight","","","","","102","","","French","","","https://fromthepage.com/image-service/32541581/full/pct:10/0/default.jpg","https://fromthepage.com/iiif/32029428/manifest",/items/32029428.html
"Lettre Rochambeau à B de V","Jean-Baptiste Vimeur, Comte de Rochambeau","1782-12-06","","George Washington; 1732-1799; New York ;Charleston, South Carolina;Ann-César de la Luzerne; 1741-1791;Saint Augustine, Florida;Jean-Baptiste Donatien de Vimeur de Rochambeau; 1725-1807;Highlight","More House Tavern","","","","102a","","","French","","","https://fromthepage.com/image-service/32567511/full/pct:10/0/default.jpg","https://fromthepage.com/iiif/32030675/manifest",/items/32030675.html
"Brouillon lettre B de V (à La Luzerne ?)","Charles-Antoine Du Houx, Baron de Vioménil ","1781-09-19","","Annapolis, Maryland; Williamsburg, Virginia;Jean-Baptiste Donatien de Vimeur de Rochambeau; 1725-1807;Hans Axel von Fersen; 1755-1810; Baltimore, Maryland;Head of Elk, Maryland ;Alexandria, Virginia; Baltimore, Maryland;Jacques-Aimé Le Saige de La Villèsbrunne;Head of Elk, Maryland ; Baltimore, Maryland;Alexandria, Virginia;Fredericksburg, Virginia ;James River;Jean-Baptiste Donatien de Vimeur de Rochambeau; 1725-1807;Hans Axel von Fersen; 1755-1810;Ann-César de la Luzerne; 1741-1791; Maryland ;Virginia;François Joseph Paul de Grasse; 1722-1788;Highlight","","","","","103","","","French","","","https://fromthepage.com/image-service/32541582/full/pct:10/0/default.jpg","https://fromthepage.com/iiif/32029430/manifest",/items/32029430.html
"Lettre Rochambeau à B de V","Rochambeau","1782-12-18","","philadelphie ;Virginia;Charleston, South Carolina; New York ; Baltimore, Maryland;Jamaica;Gibraltar;Chesapeake Bay;Louis XVI; 1754-1793; Boston, Masssachusetts;Philadelphia, Pennsylvania;Charles Henri d&#39;Estaing; 1729-1794;Jean-Baptiste Donatien de Vimeur de Rochambeau; 1725-1807;Highlight","","","","","103a","","","French","","","https://fromthepage.com/image-service/32567513/full/pct:10/0/default.jpg","https://fromthepage.com/iiif/32030676/manifest",/items/32030676.html
"Brouillon lettre B de V à Rochambeau","Charles-Antoine Du Houx, Baron de Vioménil ","1781-09-18","","Annapolis, Maryland; Baltimore, Maryland; Williamsburg, Virginia; Annapolis, Maryland;Armand-Louis Gontaut, duc de Lauzun; 1747-1793;Jacques-Aimé Le Saige de La Villèsbrunne; Williamsburg, Virginia;James River;Potomac River;Benjamin Lincoln; 1733-1810;Armand-Louis Gontaut, duc de Lauzun; 1747-1793; New York ; Baltimore, Maryland;Highlight","Annapolis, Maryland, USA","38.97787859","-76.48992152","","104","","","French","","","https://fromthepage.com/image-service/32541584/full/pct:10/0/default.jpg","https://fromthepage.com/iiif/32029431/manifest",/items/32029431.html
"Lettre Rochambeau à B de V","Jean-Baptiste Vimeur, Comte de Rochambeau","1782-12-20","","Philadelphia, Pennsylvania;Puerto Cabello, Venezuela;The West Indies;Louis-Philippe de Rigaud, marquis de Vaudreuil; 1724-1802;Savannah, Georgia;Charleston, South Carolina;Louis XVI; 1754-1793;Jacques-Aimé Le Saige de La Villèsbrunne;Louis-Philippe de Rigaud, marquis de Vaudreuil; 1724-1802;Jean-Baptiste Donatien de Vimeur de Rochambeau; 1725-1807;Highlight","Philadelphia, Pennsylvania, USA","39.95446916","-75.1792211","","104a","","","French","","","https://fromthepage.com/image-service/32567516/full/pct:10/0/default.jpg","https://fromthepage.com/iiif/32030677/manifest",/items/32030677.html
"Questions (à Rochambeau) et réponses - n.d.","Charles-Antoine Du Houx, Baron de Vioménil ","","","Jean-Baptiste Donatien de Vimeur de Rochambeau; 1725-1807; Baltimore, Maryland;Armand-Louis Gontaut, duc de Lauzun; 1747-1793;Benjamin Lincoln; 1733-1810; Baltimore, Maryland;Gilbert du Motier, marquis de Lafayette; 1757-1834; Baltimore, Maryland;Pierre-François de Béville;Jeremiah Wadsworth; 1743-1804;John Barker Church aka John Carter; 1748-1818;James River;Highlight","","","","","105","","","French","","","https://fromthepage.com/image-service/32541586/full/pct:10/0/default.jpg","https://fromthepage.com/iiif/32029432/manifest",/items/32029432.html
