subject,count,link
"antoine-charles du houx, baron de vioménil",74,"https://www.viomenil.mountvernon.org/browse.html#antoine-charles%20du%20houx,%20baron%20de%20viom%C3%A9nil"
"jean-baptiste donatien de vimeur de rochambeau",63,"https://www.viomenil.mountvernon.org/browse.html#jean-baptiste%20donatien%20de%20vimeur%20de%20rochambeau"
"1725-1807",63,"https://www.viomenil.mountvernon.org/browse.html#1725-1807"
"highlight",59,"https://www.viomenil.mountvernon.org/browse.html#highlight"
"george washington",57,"https://www.viomenil.mountvernon.org/browse.html#george%20washington"
"1732-1799",55,"https://www.viomenil.mountvernon.org/browse.html#1732-1799"
"new york",39,"https://www.viomenil.mountvernon.org/browse.html#new%20york"
"françois joseph paul de grasse",34,"https://www.viomenil.mountvernon.org/browse.html#fran%C3%A7ois%20joseph%20paul%20de%20grasse"
"charles-antoine du houx, baron de vioménil",33,"https://www.viomenil.mountvernon.org/browse.html#charles-antoine%20du%20houx,%20baron%20de%20viom%C3%A9nil"
"1722-1788",33,"https://www.viomenil.mountvernon.org/browse.html#1722-1788"
"newport, rhode island",23,"https://www.viomenil.mountvernon.org/browse.html#newport,%20rhode%20island"
"baltimore, maryland",23,"https://www.viomenil.mountvernon.org/browse.html#baltimore,%20maryland"
"philippe henri, marquis de ségur",23,"https://www.viomenil.mountvernon.org/browse.html#philippe%20henri,%20marquis%20de%20s%C3%A9gur"
"boston, masssachusetts",22,"https://www.viomenil.mountvernon.org/browse.html#boston,%20masssachusetts"
"virginia",21,"https://www.viomenil.mountvernon.org/browse.html#virginia"
"armand-louis gontaut, duc de lauzun",20,"https://www.viomenil.mountvernon.org/browse.html#armand-louis%20gontaut,%20duc%20de%20lauzun"
"1747-1793",20,"https://www.viomenil.mountvernon.org/browse.html#1747-1793"
"louis-philippe de rigaud, marquis de vaudreuil",19,"https://www.viomenil.mountvernon.org/browse.html#louis-philippe%20de%20rigaud,%20marquis%20de%20vaudreuil"
"1724-1802",19,"https://www.viomenil.mountvernon.org/browse.html#1724-1802"
"1734-1827",17,"https://www.viomenil.mountvernon.org/browse.html#1734-1827"
"antoine charles du houx, baron de vioménil",17,"https://www.viomenil.mountvernon.org/browse.html#antoine%20charles%20du%20houx,%20baron%20de%20viom%C3%A9nil"
"charles cornwallis, 1st marquess cornwallis",16,"https://www.viomenil.mountvernon.org/browse.html#charles%20cornwallis,%201st%20marquess%20cornwallis"
"1738-1805",16,"https://www.viomenil.mountvernon.org/browse.html#1738-1805"
